,waktu,user,text,STOP_REMOVAL
264,2021-11-25 10:13:46+00:00,klikanggaran,berita palsu tentang kesepakatan ganja antara australia dan taliban menjadi headline secara global kok bisa,berita palsu kesepakatan ganja australia taliban headline global
265,2021-11-25 10:13:46+00:00,paulus_willy, wah piye ini piyu solihin loe sdh semangat bet posting cebong bunuh diri massal junjungan dikonter berita , piye piyu solihin loe sdh semangat bet posting cebong bunuh massal junjungan dikonter berita 
266,2021-11-25 10:13:45+00:00,synablqs, dyson tamatkan hubungan dengan pembekalnya malaysia atas dakwaan buruh paksa awaninews awani745, dyson tamatkan hubungan pembekalnya malaysia dakwaan buruh paksa awaninews awani745
267,2021-11-25 10:13:35+00:00,consulting_sf,kanwil bea cukai kalbagtim beri izin kawasan berikat perusahaan cpo balikpapan komitmen bea cukai untuk terus,kanwil bea cukai kalbagtim izin kawasan berikat perusahaan cpo balikpapan komitmen bea cukai
268,2021-11-25 10:13:33+00:00,djnxeo, terkait isu pemilihan vanue formula akan ditentukan oleh presiden kami tegaskan semuanya merupakan tanggung jawab , terkait isu pemilihan vanue formula ditentukan presiden tegaskan tanggung 
269,2021-11-25 10:13:30+00:00,jhondav69331174, kemendag memprediksi kenaikan harga minyak goreng berlangsung hingga tahun depan berapa kisaran harganya, kemendag memprediksi kenaikan harga minyak goreng kisaran harganya
270,2021-11-25 10:13:28+00:00,dellta_metroda,justru ini malah membuat arteria malu saat orang lain bersikap dewasa meminta maaf ,arteria malu orang bersikap dewasa maaf 
271,2021-11-25 10:13:27+00:00,ferrywf, bagus pak jng mau terseret seret dng masalah formula bapak pasti pahan tabiat wan bego, bagus jng terseret seret dng formula pahan tabiat wan bego
272,2021-11-25 10:13:27+00:00,nada10062503,sesuatu tek3n presiden bertentangan dgn konstitusi implikasinya apa dicerahkan lah kita dong,tek3n presiden bertentangan dgn konstitusi implikasinya dicerahkan
273,2021-11-25 10:13:25+00:00,jabarekspres,kapolda jabar ungkap kronologi bentrokan ormas karawang,kapolda jabar kronologi bentrokan ormas karawang
274,2021-11-25 10:13:24+00:00,voidotid,wali kota pontianak edi rusdi kamtono memastikan tidak ada aparatur sipil negara asn yang mendapat bantuan sosia,wali kota pontianak edi rusdi kamtono aparatur sipil negara asn bantuan sosia
275,2021-11-25 10:13:21+00:00,cintada16,tadi nemu berita kagak izinkan kak,nemu berita kagak izinkan kak
276,2021-11-25 10:13:19+00:00,dewirahmis, sejak awal fpks dpr menolak cipta kerja sudah ingatkan bahwa dalam penyusunan harus cermat melibatkan banyak stakehol, fpks dpr menolak cipta kerja ingatkan penyusunan cermat melibatkan stakehol
277,2021-11-25 10:13:17+00:00,twuicei,percepatrealisasiapbd terdapat daerah2 dgn capaian realisasi belanja tinggi rendah mendagri mengimbau daerah,percepatrealisasiapbd daerah2 dgn capaian realisasi belanja rendah mendagri mengimbau daerah
278,2021-11-25 10:13:17+00:00,olielleo, urusan sederhana gini aja ribet emang tai kucing hukum dinegeri ini karena nyangkut para pejabat aja diladenin coba mas, urusan sederhana gini aja ribet emang tai kucing hukum dinegeri nyangkut pejabat aja diladenin coba mas
279,2021-11-25 10:13:07+00:00,iskandarhelmi47,tingkatkan keselamatan berkendara jasa marga amp irsp gelar rangkaian program road safety rangers,tingkatkan keselamatan berkendara jasa marga amp irsp gelar rangkaian program road safety rangers
280,2021-11-25 10:13:05+00:00,republikaonline,lionel messi tampil mengecewakan ketika psg kalah dari man city,lionel messi tampil mengecewakan psg kalah man city
281,2021-11-25 10:13:00+00:00,q8een_,smoga istiqomah kerap dituduh gubernur intoleran dan pro radikal anies demi akal sehat coba buktikan via ,smoga istiqomah kerap dituduh gubernur intoleran pro radikal anies akal sehat coba buktikan via 
282,2021-11-25 10:13:00+00:00,detikoto,mostpopuler ada mobil konsep sampai gerobak listrik iems 2021,mostpopuler mobil konsep gerobak listrik iems 2021
283,2021-11-25 10:12:56+00:00,mmckalteng,wakil gubernur kalteng edy pratowo saat menghadiri pertemuan kemendagri bersama ojk dan asbanda dengan pemegang,wakil gubernur kalteng edy pratowo menghadiri pertemuan kemendagri ojk asbanda pemegang
284,2021-11-25 10:12:56+00:00,yovita030699, cipta kerja inkonstitusional buang tong sampah yang dibutuhkan rakyat indonesia adalah anti oligarki https, cipta kerja inkonstitusional buang tong sampah dibutuhkan rakyat indonesia anti oligarki https
285,2021-11-25 10:12:53+00:00,solihpopeye, ganjar pranowo kita sibuk mikir upah buruh tapi lupa gaji guru, ganjar pranowo sibuk mikir upah buruh lupa gaji guru
286,2021-11-25 10:12:51+00:00,dewirahmis, dalam amar putusannya menyatakan cipta kerja dinilai cacat formil dan inkonstitusional bersyarat dengan menentukan, amar putusannya cipta kerja dinilai cacat formil inkonstitusional bersyarat menentukan
287,2021-11-25 10:12:50+00:00,yovita030699, menyatakan cipta kerja bertentangan dengan uud 1945, cipta kerja bertentangan uud 1945
288,2021-11-25 10:12:47+00:00,twuicei,percepatrealisasiapbd mendagri menuturkan terdapat daerah2 dgn capaian realisasi belanja tinggi rendah menda,percepatrealisasiapbd mendagri daerah2 dgn capaian realisasi belanja rendah menda
